Flight ID,Demand Type,Runway,WVC,Scheduled,Averaged Actual,Minimum Actual,Maximum Actual,Average Delay [s],,,Flow,Delay,AvDelay,Demand,,
B744,ARRIVAL,27R,H,1:04:32:05,1:04:32:05,1:04:32:05,1:04:32:05,0,102725,102725,13,0,3.53846153846154,13,0,1
A346,ARRIVAL,27R,H,1:04:34:21,1:04:34:21,1:04:34:21,1:04:34:21,0,102861,102861,12,0,3.83333333333333,12,0,2
B77W,ARRIVAL,27R,H,1:04:36:35,1:04:36:35,1:04:36:35,1:04:36:35,0,102995,102995,12,0,3.83333333333333,12,0,3
B744,ARRIVAL,27R,H,1:04:45:02,1:04:45:02,1:04:45:02,1:04:45:02,0,103502,103502,14,0,3.28571428571429,14,0,4
B744,ARRIVAL,27R,H,1:04:47:52,1:04:47:52,1:04:47:52,1:04:47:52,0,103672,103672,14,0,3.28571428571429,14,0,5
B77W,ARRIVAL,27R,H,1:04:51:36,1:04:51:36,1:04:51:36,1:04:51:36,0,103896,103896,13,0,3.53846153846154,13,0,6
B744,ARRIVAL,27R,H,1:04:54:21,1:04:54:21,1:04:54:21,1:04:54:21,0,104061,104061,12,0,3.83333333333333,12,0,7
B744,ARRIVAL,27R,H,1:05:04:05,1:05:04:05,1:05:04:05,1:05:04:05,0,104645,104645,11,0,4.18181818181818,11,0,8
B744,ARRIVAL,27R,H,1:05:17:07,1:05:17:07,1:05:17:07,1:05:17:07,0,105427,105427,16,0,44.5625,19,3,9
A388,ARRIVAL,27R,A380-800,1:05:20:05,1:05:20:19,1:05:20:19,1:05:20:19,14,105605,105619,17,14,77.9411764705882,19,2,10
B772,ARRIVAL,27R,H,1:05:23:06,1:05:23:06,1:05:23:06,1:05:23:06,0,105786,105786,18,0,108.666666666667,20,2,11
A388,ARRIVAL,27R,A380-800,1:05:25:46,1:05:26:18,1:05:26:18,1:05:26:18,32,105946,105978,18,32,124.666666666667,20,2,12
B77W,ARRIVAL,27R,H,1:05:29:44,1:05:29:44,1:05:29:44,1:05:29:44,0,106184,106184,19,0,139.368421052632,21,2,13
A388,ARRIVAL,27R,A380-800,1:05:35:12,1:05:35:12,1:05:35:12,1:05:35:12,0,106512,106512,21,0,157.095238095238,22,1,14
B772,ARRIVAL,27R,H,1:05:38:30,1:05:38:30,1:05:38:30,1:05:38:30,0,106710,106710,22,0,159.818181818182,22,0,15
B772,ARRIVAL,27R,H,1:05:41:08,1:05:41:08,1:05:41:08,1:05:41:08,0,106868,106868,22,0,160.954545454545,22,0,16
B772,ARRIVAL,27R,H,1:05:44:12,1:05:44:12,1:05:44:12,1:05:44:12,0,107052,107052,23,0,155.782608695652,24,1,17
B744,ARRIVAL,27R,H,1:05:46:09,1:05:46:09,1:05:46:09,1:05:46:09,0,107169,107169,23,0,160.913043478261,24,1,18
B772,ARRIVAL,27R,H,1:06:04:18,1:06:04:18,1:06:04:18,1:06:04:18,0,108258,108258,31,0,169.838709677419,34,3,19
B744,ARRIVAL,27R,H,1:06:05:17,1:06:06:08,1:06:06:08,1:06:06:08,51,108317,108368,31,51,181.032258064516,34,3,20
B772,ARRIVAL,27R,H,1:06:07:00,1:06:07:58,1:06:07:58,1:06:07:58,58,108420,108478,31,58,190.709677419355,34,3,21
A346,ARRIVAL,27R,H,1:06:08:09,1:06:09:48,1:06:09:48,1:06:09:48,99,108489,108588,31,99,198.516129032258,34,3,22
A388,ARRIVAL,27R,A380-800,1:06:09:23,1:06:13:00,1:06:13:00,1:06:13:00,217,108563,108780,32,217,210.5,33,1,23
A333,ARRIVAL,27R,H,1:06:11:30,1:06:15:32,1:06:15:32,1:06:15:32,242,108690,108932,32,242,215.21875,34,2,24
B744,ARRIVAL,27R,H,1:06:12:22,1:06:17:22,1:06:17:22,1:06:17:22,300,108742,109042,32,300,219.0625,33,1,25
B744,ARRIVAL,27R,H,1:06:14:00,1:06:19:12,1:06:19:12,1:06:19:12,312,108840,109152,32,312,221.625,33,1,26
B763,ARRIVAL,27R,H,1:06:15:19,1:06:21:02,1:06:21:02,1:06:21:02,343,108919,109262,32,343,223.53125,33,1,27
A346,ARRIVAL,27R,H,1:06:17:50,1:06:22:52,1:06:22:52,1:06:22:52,302,109070,109372,32,302,224.28125,33,1,28
A321,ARRIVAL,27R,LM,1:06:20:17,1:06:25:05,1:06:25:05,1:06:25:05,288,109217,109505,33,288,230.393939393939,33,0,29
B772,ARRIVAL,27R,H,1:06:22:14,1:06:26:21,1:06:26:21,1:06:26:21,247,109334,109581,32,247,228.59375,33,1,30
B764,ARRIVAL,27R,H,1:06:25:02,1:06:28:11,1:06:28:11,1:06:28:11,189,109502,109691,32,189,231.59375,34,2,31
