Flow,Delay,AvDelay,Demand,Delayed Flights,n
13,0,3.53846153846154,13,0,1
12,0,3.83333333333333,12,0,2
12,0,3.83333333333333,12,0,3
14,0,3.28571428571429,14,0,4
14,0,3.28571428571429,14,0,5
13,0,3.53846153846154,13,0,6
12,0,3.83333333333333,12,0,7
11,0,4.18181818181818,11,0,8
16,0,44.5625,19,3,9
17,14,77.9411764705882,19,2,10
18,0,108.666666666667,20,2,11
18,32,124.666666666667,20,2,12
19,0,139.368421052632,21,2,13
21,0,157.095238095238,22,1,14
22,0,159.818181818182,22,0,15
22,0,160.954545454545,22,0,16
23,0,155.782608695652,24,1,17
23,0,160.913043478261,24,1,18
31,0,169.838709677419,34,3,19
31,51,181.032258064516,34,3,20
31,58,190.709677419355,34,3,21
31,99,198.516129032258,34,3,22
32,217,210.5,33,1,23
32,242,215.21875,34,2,24
32,300,219.0625,33,1,25
32,312,221.625,33,1,26
32,343,223.53125,33,1,27
32,302,224.28125,33,1,28
33,288,230.393939393939,33,0,29
32,247,228.59375,33,1,30
32,189,231.59375,34,2,31
32,224,236.96875,34,2,32
33,214,244.030303030303,34,1,33
33,213,249.151515151515,34,1,34
32,187,250.28125,34,2,35
33,30,259.727272727273,35,2,36
33,25,269.575757575758,36,3,37
33,0,279.636363636364,36,3,38
33,42,289.787878787879,37,4,39
33,118,299.484848484848,36,3,40
33,107,307,36,3,41
34,140,314.411764705882,36,2,42
34,133,320.558823529412,36,2,43
33,129,326.242424242424,36,3,44
34,156,332.764705882353,36,2,45
34,153,337.735294117647,36,2,46
35,167,342,37,2,47
36,272,345.722222222222,36,0,48
37,307,345.135135135135,37,0,49
37,347,345.135135135135,37,0,50
37,351,344.162162162162,36,-1,51
38,300,341.894736842105,37,-1,52
37,318,343.027027027027,37,0,53
38,363,341.868421052632,37,-1,54
38,368,340.447368421053,38,0,55
38,365,337.973684210526,37,-1,56
38,382,337.236842105263,38,0,57
38,373,336,38,0,58
38,367,335.473684210526,38,0,59
39,359,334.846153846154,39,0,60
39,369,334.358974358974,39,0,61
39,343,333.333333333333,39,0,62
39,361,332.692307692308,38,-1,63
39,357,332.102564102564,39,0,64
39,337,331.897435897436,39,0,65
39,383,331.589743589744,39,0,66
39,378,330.589743589744,39,0,67
39,371,329.307692307692,39,0,68
40,355,327.025,39,-1,69
40,357,325.125,39,-1,70
41,335,322.365853658537,40,-1,71
41,362,321.292682926829,40,-1,72
40,366,320.275,40,0,73
40,318,318.45,40,0,74
40,348,317.475,39,-1,75
41,349,315.390243902439,40,-1,76
41,350,313.780487804878,40,-1,77
40,327,312.875,40,0,78
40,325,311.825,40,0,79
40,334,311.025,40,0,80
40,306,309.05,39,-1,81
40,321,308.075,39,-1,82
40,322,307.075,40,0,83
40,283,305.65,40,0,84
39,313,306.230769230769,40,1,85
40,307,307.575,40,0,86
41,311,307.707317073171,41,0,87
41,314,307.560975609756,40,-1,88
41,295,307.487804878049,41,0,89
40,309,307.8,40,0,90
40,308,307.275,40,0,91
40,309,305.1,39,-1,92
39,274,305,39,0,93
40,337,301.625,38,-2,94
41,335,296.048780487805,39,-2,95
40,353,295.075,38,-2,96
40,330,291.425,39,-1,97
39,348,290.435897435897,38,-1,98
40,340,285.475,38,-2,99
40,329,281.425,39,-1,100
41,318,277.19512195122,40,-1,101
41,338,273.609756097561,39,-2,102
41,349,269.975609756098,39,-2,103
40,325,268,39,-1,104
40,344,264.55,39,-1,105
41,328,259.707317073171,39,-2,106
40,291,258,39,-1,107
40,318,256.075,39,-1,108
40,279,252.875,39,-1,109
40,292,251.15,39,-1,110
40,277,249.475,39,-1,111
40,291,247.525,39,-1,112
40,293,245.025,39,-1,113
40,279,241.825,39,-1,114
39,298,240.871794871795,38,-1,115
39,282,237.871794871795,38,-1,116
39,283,236.051282051282,39,0,117
39,285,234,39,0,118
39,293,231.923076923077,38,-1,119
39,255,229.538461538462,38,-1,120
39,267,228.307692307692,38,-1,121
39,281,227.076923076923,38,-1,122
38,265,225.657894736842,38,0,123
38,337,224.973684210526,38,0,124
38,336,222,37,-1,125
38,299,219.552631578947,38,0,126
38,321,217.684210526316,37,-1,127
37,305,214.891891891892,37,0,128
37,311,211.513513513513,36,-1,129
37,288,208.27027027027,36,-1,130
38,221,204.473684210526,37,-1,131
38,220,204.184210526316,38,0,132
38,224,203.263157894737,38,0,133
38,188,203.710526315789,38,0,134
37,222,204.135135135135,38,1,135
37,207,205.351351351351,38,1,136
38,215,208.552631578947,39,1,137
38,225,210.710526315789,39,1,138
38,178,212.578947368421,40,2,139
38,215,214.894736842105,39,1,140
38,222,217.131578947368,39,1,141
38,171,218.263157894737,40,2,142
38,189,221,39,1,143
38,187,224.368421052632,40,2,144
38,204,228.026315789474,39,1,145
38,206,230.447368421053,39,1,146
39,214,232.717948717949,39,0,147
38,190,233.210526315789,39,1,148
38,210,235,39,1,149
38,225,236.157894736842,38,0,150
38,199,236.5,38,0,151
38,191,237.289473684211,38,0,152
37,165,238.540540540541,38,1,153
38,181,240.552631578947,39,1,154
38,211,242.552631578947,38,0,155
38,203,243.052631578947,39,1,156
39,204,244.846153846154,39,0,157
39,200,246.307692307692,39,0,158
38,207,247.526315789474,39,1,159
38,219,248.684210526316,39,1,160
39,239,248.769230769231,39,0,161
40,224,249.3,40,0,162
40,243,249.65,39,-1,163
40,228,249.1,40,0,164
40,180,249.175,41,1,165
40,191,250.875,40,0,166
39,173,252.410256410256,40,1,167
39,179,254.025641025641,40,1,168
39,210,255.564102564103,39,0,169
39,185,255.923076923077,40,1,170
39,241,258.820512820513,39,0,171
39,267,260.717948717949,40,1,172
39,255,262.282051282051,40,1,173
39,279,264.897435897436,40,1,174
38,297,264.526315789474,39,1,175
38,296,266.657894736842,38,0,176
38,266,267.526315789474,39,1,177
38,300,269.368421052632,38,0,178
38,265,269.921052631579,39,1,179
