 par_1      , par_2      , f_value    
 -1.4302e-02, -5.8368e-03, +2.3861e-04
 +1.4615e-03, +2.2440e-02, +5.0570e-04
 -1.9785e-01, -1.9767e-01, +7.8219e-02
 +1.6893e-02, -4.0286e-01, +1.6258e-01
 -2.8369e-01, -7.0413e-01, +5.7628e-01
 +5.1735e-02, +1.0238e+00, +1.0508e+00
 -9.8551e-01, -6.8983e-01, +1.4471e+00
 -9.4663e-01, +1.1157e+00, +2.1409e+00
 -1.5061e+00, -2.1890e-01, +2.3161e+00
 +1.4633e+00, +6.9515e-01, +2.6244e+00
 -7.0444e-01, -1.5182e+00, +2.8013e+00
 +8.8963e-01, +1.4270e+00, +2.8278e+00
 -3.8380e-01, +1.7608e+00, +3.2478e+00
 +1.3741e+00, +1.2160e+00, +3.3667e+00
 +4.2107e-01, -2.1574e+00, +4.8318e+00
 +1.5789e+00, -1.5789e+00, +4.9861e+00
 -2.2990e+00, +8.9804e-01, +6.0920e+00
 -6.6752e-02, -2.5382e+00, +6.4467e+00
 -6.5259e-01, -2.7375e+00, +7.9195e+00
 +1.4234e+00, -2.7157e+00, +9.4009e+00
 -3.2859e+00, +4.7205e-01, +1.1020e+01
 -3.6842e+00, -5.2632e-01, +1.3850e+01
 -1.5789e+00, +3.6842e+00, +1.6066e+01
 +3.6842e+00, +2.6316e+00, +2.0499e+01
 -2.6316e+00, -5.7895e+00, +4.0443e+01
 +5.7895e+00, -2.6316e+00, +4.0443e+01
 +2.6316e+00, -6.8421e+00, +5.3740e+01
 -5.7895e+00, +4.7368e+00, +5.5956e+01
 +5.2632e-01, +7.8947e+00, +6.2604e+01
 -8.9474e+00, +5.2632e-01, +8.0332e+01
 +8.9474e+00, +1.5789e+00, +8.2548e+01
 -7.8947e+00, -4.7368e+00, +8.4765e+01
 -5.2632e-01, -1.0000e+01, +1.0028e+02
 +4.7368e+00, +8.9474e+00, +1.0249e+02
 +6.8421e+00, -7.8947e+00, +1.0914e+02
 +7.8947e+00, +6.8421e+00, +1.0914e+02
 +1.0000e+01, -3.6842e+00, +1.1357e+02
 -4.7368e+00, +1.0000e+01, +1.2244e+02
 -6.8421e+00, -8.9474e+00, +1.2687e+02
 -1.0000e+01, +5.7895e+00, +1.3352e+02
